case_id,claim_id,carc,expected_topic,top_retrieved_topic_1,top_retrieved_topic_2,top_retrieved_topic_3,top_score_1,hit,result
EVAL001,CLM10001,16,Missing Information / Submission Errors,Missing Information / Submission Errors,Missing Information / Submission Errors,Duplicate Claims / CARC 18,0.3899,True,PASS
EVAL002,CLM10002,50,Medical Necessity,Medical Necessity,Medical Necessity,Bundled Services / CARC 97,0.3821,True,PASS
EVAL003,CLM10004,97,Bundled Services / CARC 97,Bundled Services / CARC 97,Duplicate Claims / CARC 18,Modifier 25 / Evaluation and Management / Inconsistent Modifier,0.5052,True,PASS
EVAL004,CLM10003,1,Deductible / Patient Responsibility,Deductible / Patient Responsibility,Deductible / Patient Responsibility,Deductible / Patient Responsibility,0.2054,True,PASS
EVAL005,CLM10005,4,Modifier 25 / Evaluation and Management / Inconsistent Modifier,Modifier 25 / Evaluation and Management / Inconsistent Modifier,Modifier 25 / Evaluation and Management / Inconsistent Modifier,Modifier 25 / Evaluation and Management / Inconsistent Modifier,0.3771,True,PASS
EVAL006,CLM10006,16,Missing Information / Submission Errors,Missing Information / Submission Errors,Missing Information / Submission Errors,Duplicate Claims / CARC 18,0.4075,True,PASS
EVAL007,CLM10007,50,Medical Necessity,Medical Necessity,Medical Necessity,Bundled Services / CARC 97,0.3821,True,PASS
EVAL008,CLM10008,1,Deductible / Patient Responsibility,Deductible / Patient Responsibility,Deductible / Patient Responsibility,Deductible / Patient Responsibility,0.2054,True,PASS
EVAL009,CLM10009,96,Medical Necessity,Bundled Services / CARC 97,Modifier 25 / Evaluation and Management / Inconsistent Modifier,Missing Information / Submission Errors,0.1092,False,FAIL
EVAL010,CLM10010,16,Missing Information / Submission Errors,Missing Information / Submission Errors,Missing Information / Submission Errors,Duplicate Claims / CARC 18,0.3899,True,PASS
EVAL011,1001,16,Missing Information / Submission Errors,Missing Information / Submission Errors,Missing Information / Submission Errors,Duplicate Claims / CARC 18,0.3899,True,PASS
EVAL012,1002,50,Medical Necessity,Medical Necessity,Medical Necessity,Bundled Services / CARC 97,0.3821,True,PASS
EVAL013,1004,97,Bundled Services / CARC 97,Bundled Services / CARC 97,Duplicate Claims / CARC 18,Modifier 25 / Evaluation and Management / Inconsistent Modifier,0.5052,True,PASS
